ID,WORDPLAY,TARGET_WORD,DISAMBIGUATION,HORIZONTAL/VERTICAL,MANIPULATION_TYPE,MANIPULATION_LEVEL,CULTURAL_REFERENCE,CONVENTIONAL_FORM,OFFENSIVE
noun_1263,Tragicomix,Tragicomix,tragicomedy,vertical,Similarity,Sound,False,False,
noun_339,Orthopaedix,Orthopaedix,orthopaedics,vertical,Similarity,Sound,False,False,
noun_755,Homeopathix,Homeopathix,homeopathy,vertical,Similarity,Sound,False,False,
noun_1264,Prolix,Prolix,prolix = wordy,vertical,Similarity,Sound,False,False,
noun_608,Astronomix,Astronomix,astronomy,vertical,Similarity,Sound,False,False,
noun_1260,Sarsaparilla,Sarsaparilla,sarsaparilla,vertical,Similarity,Sound,False,False,
noun_1274,Obeliscoidix,Obeliscoidix,obeliskoidic,vertical,Similarity,Sound,False,False,
noun_786,Vanilla,Vanilla,vanilla,vertical,Identity,Sound,False,False,
noun_378,Whosmoralsarelastix,Whosmoralsarelastix,"whose morals are elastic = ""Whose morals are lax""",vertical,Similarity,Sound,False,False,
noun_642,Adrenalin,Adrenalin,adrenalin,vertical,Identity,Sound,False,False,
noun_309,Compendium,Compendium,[latin] compendium = concise collection,vertical,Similarity,Sound,False,False,
noun_1074,Tremensdelirius,Tremensdelirius,tremendous + delirium,vertical,Similarity,Sound,False,False,
noun_1044,Caius Fatuous,Caius Fatuous,fatuous,vertical,Similarity,Sound,False,False,
noun_607,Obsequius,Obsequius,obsequy,vertical,Similarity,Sound,False,False,
noun_659,Tortuous Convolvulos,Tortuous Convolvulos,tortuous + convoluted,vertical,Similarity,Sound,False,False,
noun_828,Nefarius Purpus,Nefarius Purpus,nefarious + purpose,vertical,Similarity,Sound,False,False,
noun_516,Vitriolix,Vitriolix,vitriol = acid,vertical,Similarity,Sound,False,False,
noun_61,Crustacius,Crustacius,crustacean,vertical,Similarity,Sound,False,False,
noun_934,Choléramorbus,Choléramorbus,choléra + morbide,vertical,Similarity,Sound,False,False,
noun_928,Anticlimax,Anticlimax,anticlimax,vertical,Identity,Sound,False,False,
noun_51,Macaroon,Macaroon,macaroon,vertical,Similarity,Sound,False,False,
noun_743,McAnix,McAnix,mechanics,vertical,Similarity,Sound,False,False,
noun_488,Influenza,Influenza,influenza = viral disease,vertical,Identity,Sound,False,False,
noun_1257,Angina,Angina,angina,vertical,Identity,Sound,False,False,
noun_1258,Edifis,Edifis,edifice,vertical,Similarity,Sound,False,False,
noun_178,Ikea,Ikea,Sweden company + viking character,vertical,Identity,Sound,False,False,
noun_688,Abba,Abba,Sweden band + viking character,vertical,Identity,Sound,False,False,
noun_299,Cassius Ceramix,Cassius Ceramix,Clay is used in ceramics. Cassius Clay = real name of Muhammad Ali.,vertical,Similarity,Sound,True,False,
noun_406,Tadsilweny,Tadsilweny,anagram for Walt Disney,vertical,Similarity,Sound,False,False,
noun_1249,Psychoanalytix,Psychoanalytix,psychoanalytic,vertical,Similarity,Sound,False,False,
noun_112,Metric,Metric,metric,vertical,Identity,Sound,False,False,
noun_1232,Dubbelosix,Dubbelosix,006,vertical,Similarity,Sound,True,False,
noun_839,Vexatius Sinusitus,Vexatius Sinusitus,vexatious + sinusitis,vertical,Similarity,Sound,False,False,
noun_191,Elvis Preslix,Elvis Preslix,Elvis Presley,vertical,Similarity,Sound,True,False,
noun_392,Codfix,Codfix,codfish,vertical,Similarity,Sound,False,False,
noun_1224,Metallurgix,Metallurgix,metallurgy,vertical,Similarity,Sound,False,False,
noun_167,Archaeopterix,Archaeopterix,Archaeopteryx (dinosaur),vertical,Similarity,Sound,False,False,
noun_961,Suffix,Suffix,suffix,vertical,Similarity,Sound,False,False,
noun_1222,Botanix,Botanix,botanic,vertical,Similarity,Sound,False,False,
noun_284,Histrionix,Histrionix,histrionics,vertical,Similarity,Sound,False,False,
noun_796,Diagnostix,Diagnostix,diagnostic,vertical,Similarity,Sound,False,False,
noun_1150,Hydrophobia,Hydrophobia,hydrophobia,vertical,Similarity,Sound,False,False,
noun_789,Melodrama,Melodrama,melodrama,vertical,Identity,Sound,False,False,
noun_173,Bravura,Bravura,bravura,vertical,Similarity,Sound,False,False,
noun_1247,Prefix,Prefix,prefix,vertical,Identity,Sound,False,False,
noun_33,Thermostatix,Thermostatix,thermostatic,vertical,Similarity,Sound,False,False,
noun_910,Unpatriotix,Unpatriotix,unpatriotic,vertical,Similarity,Sound,False,False,
noun_1243,Majestix,Majestix,majestic,vertical,Similarity,Sound,False,False,
noun_143,Ignoramus,Ignoramus,ignorant,vertical,Similarity,Sound,False,False,
noun_849,Titus Crapulus,Titus Crapulus,crapulous = sick from drinking,vertical,Similarity,Sound,False,False,
noun_89,Scrofulus,Scrofulus,scrofulous,vertical,Similarity,Sound,False,False,
noun_545,Bogus Genius,Bogus Genius,"bogus (fake, bad) + genius",vertical,Similarity,Sound,False,False,
noun_733,Insalubrius,Insalubrius,insalubrious,vertical,Similarity,Sound,False,False,
noun_75,Felix Platypus,Felix Platypus,platypus,vertical,Similarity,Sound,False,False,
noun_969,Caius Eucaliptus,Caius Eucaliptus,eucalyptus,vertical,Similarity,Sound,False,False,
noun_827,Caius Pusillanimus,Caius Pusillanimus,pusillanimous,vertical,Similarity,Sound,False,False,
noun_1422,Caius Flebitus,Caius Flebitus,phlebitis,vertical,Similarity,Sound,False,False,
noun_1072,Caius Preposterus,Caius Preposterus,preposterous,vertical,Similarity,Sound,False,False,
noun_571,Devius Surreptitus,Devius Surreptitus,devious + surreptitious,vertical,Similarity,Sound,False,False,
noun_597,Claudius Omnibus,Claudius Omnibus,omnibus,vertical,Similarity,Sound,False,False,
noun_1423,Spurius Brontosaurus,Spurius Brontosaurus,spurious + brontosaurus,vertical,Similarity,Sound,False,False,
noun_353,Poisonus Fungus,Poisonus Fungus,"""poisonous fungus""",vertical,Similarity,Sound,False,False,
noun_526,Radius,Radius,radius,vertical,Identity,Sound,False,False,
noun_355,Cadaverus,Cadaverus,cadaverous,vertical,Similarity,Sound,False,False,
noun_906,Raucus Hallelujachorus,Raucus Hallelujachorus,raucous + hallelujah + chorus,vertical,Similarity,Sound,False,False,
noun_1035,Varius Flavus,Varius Flavus,various + flavours,vertical,Similarity,Sound,False,False,
noun_860,Showbusinus,Showbusinus,showbusiness,vertical,Similarity,Sound,False,False,
noun_1061,Julius Monotonus,Julius Monotonus,monotonous,vertical,Similarity,Sound,False,False,
noun_631,Circumbendibus,Circumbendibus,[latin] circumbendibus = circumlocution,vertical,Similarity,Sound,False,False,
noun_1067,Overanxius,Overanxius,over + anxious,vertical,Similarity,Sound,False,False,
noun_1223,Porpus,Porpus,porpoise,vertical,Similarity,Sound,False,False,
noun_219,Marcus Ubiquitus,Marcus Ubiquitus,ubiquitous,vertical,Similarity,Sound,False,False,
noun_1135,Marcus Ginantonicus,Marcus Ginantonicus,"""gin and tonic""",vertical,Similarity,Sound,False,False,
noun_472,Homunculus,Homunculus,homunculus,vertical,Identity,Sound,False,False,
noun_501,Cantankerus,Cantankerus,cantankerous = bad tempered,vertical,Similarity,Sound,False,False,
noun_739,Superfluous,Superfluous,superfluous,vertical,Similarity,Sound,False,False,
noun_894,Arteriosclerosus,Arteriosclerosus,arteriosclerosis,vertical,Similarity,Sound,False,False,
noun_1220,Gastroenteritus,Gastroenteritus,gastroenteritis,vertical,Similarity,Sound,False,False,
noun_132,Fishfingus,Fishfingus,"""fish finger""",vertical,Similarity,Sound,False,False,
noun_657,Villanus,Villanus,villainous,vertical,Similarity,Sound,False,False,
noun_1042,Fibrositus,Fibrositus,fibrositis,vertical,Similarity,Sound,False,False,
noun_883,Goldenslumbus,Goldenslumbus,Golden Slumbers,vertical,Similarity,Sound,True,False,
noun_248,Unscrupulus,Unscrupulus,unscrupulous,vertical,Similarity,Sound,False,False,
noun_1230,Appianglorious,Appianglorious,happy + and + glorious,vertical,Similarity,Sound,False,False,
noun_91,Magnumopus,Magnumopus,"""magnum opus"" = quest for the philosophers' stone",vertical,Similarity,Sound,False,False,
noun_887,Courtingdisastus,Courtingdisastus,"""courting disaster""",vertical,Similarity,Sound,False,False,
noun_946,Perfidius,Perfidius,perfidious,vertical,Similarity,Sound,False,False,
noun_127,Adipus,Adipus,adipose,vertical,Similarity,Sound,False,False,
noun_92,Sendervictorius,Sendervictorius,sender + victorious,vertical,Similarity,Sound,False,False,
noun_194,Artifis,Artifis,artfice,vertical,Similarity,Sound,False,False,
noun_797,Nescaf,Nescaf,Nescafé,vertical,Similarity,Sound,False,False,
noun_1011,Eccentric,Eccentric,eccentric,vertical,Identity,Sound,False,False,
noun_751,Chipolata,Chipolata,chipolata (type of sausage),vertical,Identity,Sound,False,False,
noun_587,Rhetoric,Rhetoric,rhetoric,vertical,Identity,Sound,False,False,
noun_29,Choleric,Choleric,choleric,vertical,Identity,Sound,False,False,
noun_1146,Ptenisnet,Ptenisnet,"""tenis net""",vertical,Similarity,Sound,False,False,
noun_229,Firsthaf,Firsthaf,"""first half""",vertical,Similarity,Sound,False,False,
noun_531,Electric,Electric,electric,vertical,Identity,Sound,False,False,
noun_824,Mintjulep,Mintjulep,"""mint julep"" (cocktail)",vertical,Similarity,Sound,False,False,
noun_1219,Beefix,Beefix,beef,vertical,Similarity,Sound,False,False,
noun_668,Prehistoric,Prehistoric,prehistoric,vertical,Identity,Sound,False,False,
noun_489,Absolutlifabulos,Absolutlifabulos,"""absolutely fabulous""",vertical,Similarity,Sound,False,False,
noun_1002,Herendethelessen,Herendethelessen,her end the lessen ~ her and the lesson,vertical,Similarity,Sound,False,False,
noun_637,Watziznehm,Watziznehm,"""What's his name?""",vertical,Similarity,Sound,False,False,
noun_1085,Hoodunnit,Hoodunnit,whodunnit,vertical,Similarity,Sound,False,False,
noun_619,Nøgøødreässen,Nøgøødreässen,"""No good reason""",Abbreviation,Similarity,Sound,False,False,
noun_1270,Exlibris,Exlibris,[latin] ex libris = from the library of somebody,vertical,Similarity,Sound,False,False,
noun_552,Häräldwilssen,Häräldwilssen,Harold Wilson (Prime Minister),Abbreviation,Similarity,Sound,False,False,
noun_1004,Odiuscømpärissen,Odiuscømpärissen,odious + comparison,Abbreviation,Similarity,Sound,False,False,
noun_1271,Atmospheric,Atmospheric,atmospheric,vertical,Identity,Sound,False,False,
noun_1253,Euphoric,Euphoric,euphoric,vertical,Identity,Sound,False,False,
noun_48,Esoteric,Esoteric,esoteric,vertical,Identity,Sound,False,False,
noun_418,Howdoo,Howdoo,howdy,vertical,Similarity,Sound,False,False,
noun_394,Orinjade,Orinjade,orangeade,vertical,Similarity,Sound,False,False,
noun_398,Satiric,Satiric,satiric,vertical,Identity,Sound,False,False,
noun_369,Valueaddedtax,Valueaddedtax,"""value added tax""",Abbreviation,Similarity,Sound,False,False,
noun_656,Huevos y Bacon,Huevos y Bacon,[spanish] huevos y bacon = eggs and bacon,vertical,Similarity,Sound,False,False,
noun_1254,Secondhaf,Secondhaf,"""second half""",Abbreviation,Similarity,Sound,False,False,
noun_1218,Krukhut,Krukhut,"""crew cut"" (type of haircut)",Abbreviation,Similarity,Sound,True,False,
noun_197,Tartaric,Tartaric,tartaric acid,vertical,Identity,Sound,False,False,
noun_1206,Pegleg,Pegleg,peg leg = wooden leg,vertical,Identity,Sound,False,False,
noun_854,Sethisbackup,Sethisbackup,"""set his backup""",Abbreviation,Similarity,Sound,False,False,
noun_1182,Huntingseassen,Huntingseassen,"""hunting season""",Abbreviation,Similarity,Sound,False,False,
noun_1183,Totalapsus,Totalapsus,total + lapsus,Abbreviation,Similarity,Sound,False,False,
noun_641,Dubbledekabus,Dubbledekabus,"""double-decker bus""",Abbreviation,Similarity,Sound,False,False,
noun_1180,Oompa-Loompas,Oompa-Loompas,"Oompa (might come from oompah, the sound of a brass instrument) + Loompa = nonsense",vertical,Similarity,Sound,False,False,
noun_125,Veruca Salt,Veruca Salt,"verruca (a kind of wart) + ""to be salty"" = mean, annoying, and repulsive",vertical,Identity,Sound,False,False,
noun_697,Vermicious Knids,Vermicious Knids,vermicious (slimy) + Knids (coin word),vertical,Similarity,Sound,False,False,
noun_1117,Rainbow drops,Rainbow drops,absurd,vertical,Similarity,Sound,False,False,
noun_667,Eatable Marshmallow Pillows,Eatable Marshmallow Pillows,absurd,vertical,Identity,Sound,False,False,
noun_1443,Lickable Wallpaper Walls,Lickable Wallpaper Walls,absurd,vertical,Identity,Sound,False,False,
noun_134,Fizzy Lifting Drinks,Fizzy Lifting Drinks,absurd,vertical,Identity,Sound,False,False,
noun_1049,Everlasting Gobstopper,Everlasting Gobstopper,gob = slang for mouth,vertical,Identity,Sound,False,False,
noun_375,Spotty Powder,Spotty Powder,context,vertical,Identity,Sound,False,False,
noun_599,Willy Wonka,Willy Wonka,alliteration in 'w'. Wonka = slang for crazy,vertical,Similarity,Sound,False,False,
noun_170,Glummy,Glummy,glummy/gloomy. context,vertical,Similarity,Sound,False,False,
noun_634,Strodelling,Strodelling,stride + -ling,vertical,Similarity,Sound,False,False,
noun_342,Ucky-mucky,Ucky-mucky,ucky (gross situation or substance) + mucky (dirty) = messy,vertical,Similarity,Sound,False,False,
noun_14,Crockadowndilly,Crockadowndilly,crockadowndilly/crocodile,vertical,Similarity,Sound,False,False,
noun_1268,Norphan,Norphan,norphan/orphan,vertical,Similarity,Sound,False,False,
noun_1111,Telly-telly bunkum box,Telly-telly bunkum box,telly/TV,vertical,Similarity,Sound,False,False,
noun_1106,Gogglers,Gogglers,context. gogglers/goggles,vertical,Identity,Sound,False,False,
noun_575,Babblement,Babblement,babblement/babbling,vertical,Similarity,Sound,False,False,
noun_481,Moocheling and footcheling,Moocheling and footcheling,footcheling/foot. to mooch = walk aimlessly.,vertical,Similarity,Sound,False,False,
noun_58,Twiddly diddly,Twiddly diddly,neologism,vertical,Similarity,Sound,False,False,
noun_1266,Earwigs,Earwigs,earwigs/ears,vertical,Similarity,Sound,False,False,
noun_713,Clumpty clumpty clumpt,Clumpty clumpty clumpt,onomatopoeia,vertical,Similarity,Sound,False,False,
noun_77,Fibster,Fibster,fibs + -ster,vertical,Similarity,Sound,False,False,
noun_94,Fibbing,Fibbing,fibs + -ing (verb),vertical,Similarity,Sound,False,False,
pun_571,"I'd like to be a Chinese laborer, said Tom coolly.",coolly,Coolie/cool,vertical,Identity,Sound,True,True,Racist
pun_1067,Wal - Mart isn't the only saving place !,saving,save/save,vertical,Identity,Sound,True,False,
pun_275,Dentists don't like a hard day at the orifice.,orifice,orifice/office,vertical,Similarity,Sound,False,False,
pun_245,Can honeybee abuse lead to a sting operation ?,sting,sting/sting,vertical,Identity,Sound,False,False,
pun_208,Are evil wildebeests bad gnus ?,gnus,gnus/news,vertical,Similarity,Sound,False,False,
pun_119,A busy barber is quite harried.,harried,harried/hairy,vertical,Similarity,Sound,False,False,
pun_861,"She was only a Blacksmith's daughter, but she knew how to forge ahead.",forge,forge/forge,vertical,Identity,Sound,False,False,
pun_284,Did you hear about the new pinata ? It's a huge hit.,hit,hit/hit,vertical,Identity,Sound,False,False,
pun_1055,Two construction workers had a stairing contest.,stairing,stairs/stare,vertical,Similarity,Sound,False,False,
pun_113,A bank manager who was also a high jumper spent most of his time in the vault.,vault,vault/vault,vertical,Identity,Sound,False,False,
pun_637,"In the winter, some horses are Friesian.",Friesian,horse/freezing,vertical,Similarity,Sound,False,False,
pun_763,"OLD ELECTRICIANS never die, they just do it until it Hz.",Hz,hurt/Hz,vertical,Similarity,Writing,True,False,
pun_804,Once ice cream was invented the problem was licked.,licked,lick/lick,vertical,Identity,Sound,False,False,
pun_1216,"Yesterday I accidentally swallowed some food coloring. The doctor says I'm OK, but I feel like I've dyed a little inside.",dyed,die/dye,vertical,Similarity,Sound,False,False,
pun_1013,"There's room for one more,''Tom admitted.",admitted,admit/admit,vertical,Identity,Sound,False,True,
pun_331,Follow your knows.,knows,know/nose,vertical,Similarity,Sound,False,False,
pun_1022,They threw a party for the inventor of the toaster. And he was toasted.,toasted,toasted/toast,vertical,Identity,Sound,False,False,
pun_123,A china doll was marked in tiny letters : 'maid in USA'.,maid,maid/made,vertical,Similarity,Sound,True,False,
pun_627,If you're a gardener you might call yourself a plant manager'.,plant,plant/plant,vertical,Identity,Sound,False,False,
pun_472,"I deny everything, said Tom knowingly.",knowingly,know/no ,vertical,Similarity,Sound,False,True,
pun_699,My advanced geometry class is full of squares.,squares,square/square,vertical,Identity,Sound,False,False,
pun_662,Jesus changes grave situations. Happy Easter.,grave,tumb/grave,vertical,Identity,Sound,True,False,
pun_864,"She was only a Farmer's daughter, but she was the best little hoer in the county.",hoer,hoer/insult ,vertical,Similarity,Sound,False,False,Sexist
pun_489,I got angry when my cell phone battery died. My counselor suggested I find an outlet.,outlet,outlet/outlet,vertical,Identity,Sound,False,False,
pun_129,A cowboy who was also an artist could draw fast.,draw,draw/draw,vertical,Identity,Sound,False,False,
pun_204,Angel dust ? Me ? Never touch it !''Tom snorted.,snorted,snort/snort,vertical,Identity,Sound,False,True,
pun_1074,We welcome you with open psalms.,psalms,psalm/arms,vertical,Similarity,Sound,True,False,
pun_291,Diets are for people who are thick and tired of it all.,thick,thick/sick,vertical,Similarity,Sound,False,False,
pun_1140,When Socrates needed to buy food he went to the grocery stoa.,stoa,stoa/store,vertical,Similarity,Sound,True,False,
pun_936,The cobbler was asked how many shoes he had soled by a well,soled,soled/sold,vertical,Similarity,Sound,False,False,
pun_675,"Let's all play an A, a C sharp, and an E, cried Tom's band with one accord.",accord,accord/agreement,vertical,Similarity,Sound,False,True,
pun_953,The gunman took a shot at new opportunities.,shot,shot/shot,vertical,Identity,Sound,False,False,
pun_1002,The young pine sapling was admonished by his father. Apparently he'd been knotty.,naughty,knotty/crooked/naughty/bad,vertical,Similarity,Sound,False,False,
pun_943,"The doctors had to remove a bone from my arm, said Tom humorlessly.",humorlessly,humorlessly/humerus,vertical,Similarity,Sound,False,True,
pun_595,I've struck oil ! Tom gushed.,gushed,gush/gush/gush,vertical,Identity,Sound,False,True,
pun_594,"I've been to a film festival in the South of France, said Tom cannily.",cannily,cannily/cannes,vertical,Similarity,Sound,True,True,
pun_345,Getting rid of your boat for another could cause a whole raft of problems.,raft,raft/raft,vertical,Identity,Sound,False,False,
pun_163,A music store was robbed. The thief made away with the lute.,lute,lute/loot,vertical,Similarity,Sound,False,False,
pun_371,"He threw jello at his wife, who had him arrested for carrying a congealed weapon.",congealed,congealed/solid/concealed,vertical,Similarity,Sound,False,False,
pun_831,"Pretend we were in the days before railways,''Tom coached.",coached,coach/coach,vertical,Identity,Sound,False,True,
pun_790,"OLD STATISTICIANS never die, they just get broken down by age, sex and marital status.",broken down,break/down/break/down/break/down,vertical,Identity,Sound,False,False,
pun_384,His wife left him saying she was going home to mutter.,mutter,mutter/mother,vertical,Similarity,Sound,False,False,
pun_281,Did you hear about the crime that happened in a parking garage ? It was wrong on so many levels.,level,level/level,vertical,Identity,Sound,False,False,
pun_1217,Yesterday a cow saved my life - it was bovine intervention.,bovine,bovine/divine/heavenly/divine/heavenly,vertical,Similarity,Sound,False,False,
pun_680,Luggage salespeople have to make a good case for you to buy.,case,case/case,vertical,Identity,Sound,False,False,
pun_320,Fashion is something that goes in one era and out the other.,era,era/ear,vertical,Similarity,Sound,False,False,
pun_149,A kettle on the stove was singing 'Home on the Range'.,range,range/range,vertical,Identity,Sound,True,False,
pun_1121,What kind of flooring do alligator hunters use ? Reptiles !,reptiles,reptile/tile,vertical,Similarity,Sound,False,False,
pun_698,Musical mechanics always sing in parts.,parts,part/part,vertical,Identity,Sound,False,False,
pun_997,The ultimate liquid measure is the supreme quart.,quart,quart/quart/court/court,vertical,Similarity,Sound,False,False,
pun_409,Hubble wanted to bring the idea into better focus.,focus,focus/focus,vertical,Identity,Sound,True,False,
pun_1149,When his clothes dryer broke he was lint another one.,lint,lint/lend,vertical,Similarity,Sound,False,False,
pun_941,The decision to begin construction on the Empire State Building was a groundbreaking historical event.,groundbreaking,groundbreaking/original/groundbreaking,vertical,Identity,Sound,True,False,
pun_787,"OLD QUILTERS never die, they just go under cover.",under cover,cover/cover,vertical,Identity,Sound,False,False,
pun_267,Cows make noise only when they're in the mood.,mood,mood/moo/moo,vertical,Similarity,Sound,False,False,
pun_1145,When cannibals ate a missionary they got a taste of religion.,taste/,taste/taste,vertical,Identity,Sound,False,False,
pun_1142,"When asked by a Health Department official to describe the mess he saw on the slaughterhouse floor, the USDA inspector replied,''It was just offal.''",offal,offal/awful/bad/awful/alarming/awful,vertical,Similarity,Sound,False,False,
pun_771,"OLD GUITARISTS never die, they just fret their lives away",fret,fret/fret/fret,vertical,Identity,Sound,False,False,
pun_191,After burning a batch of cookies a baker felt very crummy.,crummy,crummy/inferior/crumb,vertical,Identity,Sound,False,False,
pun_930,The boating store had its best sail ever.,sail,sail/sale/sale,vertical,Similarity,Sound,False,False,
pun_368,He stole an invention and then told patent lies.,patent,patent/patent/obvious,vertical,Identity,Sound,False,False,
pun_1144,When asked to picture the perfect modern defensive weapon the Claymore springs to mine.,mine,mine/mind,vertical,Similarity,Sound,True,False,
pun_523,"I made a batch of fish eye soup, it should see me through the week.",see,see/see/through,vertical,Identity,Sound,False,False,
pun_1150,When it got stuck in the mud my car had to be toad.,toad/tow,toad/tow,vertical,Similarity,Sound,False,False,
pun_1148,"When he kicked the invoice, it didn't mean he wanted to foot the bill.",foot,foot/foot,vertical,Identity,Sound,False,False,
pun_1152,"When my camera fell in the toffee I was making, I got a very candied picture.",candied,candied/sugary/candid/unstudied,vertical,Identity,Sound,False,False,
